################################################################################
# Collectl:   V3.6.3-2  HiRes: 1  Options: --all -oT -P -f /projects/molu8455/collectl/data 
# Host:       node1051  DaemonOpts: 
# Distro:     Red Hat Enterprise Linux Server release 5.6 (Tikanga)  Platform: 
# Date:       20130318-122741  Secs: 1363631261 TZ: -0600
# SubSys:     bcdfijlmnst Options: Tz Interval: 1 NumCPUs: 12  NumBud: 4 Flags: i
# Filters:    NfsFilt:  EnvFilt: 
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2800.193 Cores: 6  Siblings: 6 Nodes: 2
# Kernel:     2.6.18-238.12.1.el5  Memory: 24675680 kB  Swap: 0 kB
# NumDisks:   0 DiskNames: 
# NumNets:    6 NetNames: lo: eth0: eth1: sit0: vlan2049: ib0:40000
# IConnect:   NumHCAs: 1 PortStates: 1 IBVersion:  PQVersion: 
# Lustre:     CfsVersion: jenkins  LustOpts:  Services: 
# LustreClient:   CltInfo:  scratch:
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [SOCK]Used [SOCK]Tcp [SOCK]Orph [SOCK]Tw [SOCK]Alloc [SOCK]Mem [SOCK]Udp [SOCK]Raw [SOCK]Frag [SOCK]FragMem [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot [INODE]NumDentry [INODE]openFiles [INODE]MaxFile% [INODE]used [NFS]ReadsS [NFS]WritesS [NFS]MetaS [NFS]CommitS [NFS]Udp [NFS]Tcp [NFS]TcpConn [NFS]BadAuth [NFS]BadClient [NFS]ReadsC [NFS]WritesC [NFS]MetaC [NFS]CommitC [NFS]Retrans [NFS]AuthRef [CLT]Reads [CLT]ReadKB [CLT]Writes [CLT]WriteKB [TCP]PureAcks [TCP]HPAcks [TCP]Loss [TCP]FTrans [BUD]1Page [BUD]2Pages [BUD]4Pages [BUD]8Pages [BUD]16Pages [BUD]32Pages [BUD]64Pages [BUD]128Pages [BUD]256Pages [BUD]512Pages [BUD]1024Pages
20130318 12:27:53 8 0 1 1 0 0 0 89 9 9113 33302 0 312 0 0.32 0.18 2.61 1 0 24675680 3394172 21281508 0 0 2733504 203684 24516 227936 3148124 0 0 0 0 0 0 4 0 0 2585964 0 0 11488 25 0 0 0 0 309 40 0 3 46 12 0 0 0 0 6640 5752 5068 807 0 8 0 0 0 0 0 0 0 0 0 0 0 0 104991 2550 0 89880 0 0 0 0 0 0 0 0 0 324 0 3164 0 0 0 0 0 0 0 0 3402 0 0 35 7 76 2553 1683 1777 1087 587 221 118 4838
20130318 12:27:54 11 0 3 4 0 0 0 81 15 6687 28443 8 320 4 0.32 0.18 2.61 4 0 24675680 4708464 19967216 0 0 2755620 204204 24516 1518036 4507444 0 0 0 0 0 0 4 0 0 2588508 0 0 325412 29 0 0 0 0 309 40 0 3 46 8 0 0 0 0 16728 10356 21774 903 0 0 0 0 0 0 0 0 0 0 0 0 0 0 105949 2550 0 90101 0 0 0 0 0 0 0 0 0 859 0 1809 0 0 0 0 0 0 0 0 2026 0 0 8 6 3 4 7 4 4 3 5 70 4838
20130318 12:27:55 32 0 1 0 0 0 0 67 33 1031 2055 0 320 4 0.32 0.18 2.61 4 0 24675680 5056916 19618764 0 0 2755660 204548 25084 1866844 4851844 0 0 0 0 0 0 4 0 0 2588500 0 0 87105 0 0 0 0 0 309 40 0 3 46 8 0 0 0 0 26 0 2 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 105949 2550 0 90101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 5 4 5 8 4 3 4 6 5 4785
20130318 12:27:56 33 0 1 0 0 0 0 67 33 1044 2054 0 320 4 0.32 0.18 2.61 4 0 24675680 5338892 19336788 0 0 2755660 204548 25084 2147756 5135508 0 0 0 0 0 0 4 0 0 2588500 0 0 70340 0 0 0 0 0 309 40 0 3 46 8 0 0 0 0 46 8 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 105949 2550 0 90101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 8 5 3 6 6 6 4 4 4 4 4717
20130318 12:27:57 33 0 1 0 0 0 0 67 33 1041 2076 0 320 4 0.62 0.24 2.62 4 0 24675680 5591604 19084076 0 0 2755660 204548 25084 2400656 5392536 0 0 0 0 0 0 4 0 0 2588500 0 0 63125 0 0 0 0 0 309 40 0 3 46 8 0 0 0 0 48 0 4 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 105949 2550 0 90101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 5 3 5 6 6 5 4 5 4 4655
20130318 12:27:58 33 0 0 0 0 0 0 67 33 1034 2051 0 320 4 0.62 0.24 2.62 4 0 24675680 5826460 18849220 0 0 2755660 204548 25084 2635008 5634896 0 0 0 0 0 0 4 0 0 2588500 0 0 58612 0 0 0 0 0 309 40 0 3 46 8 0 0 0 0 30 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 105949 2550 0 90101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 5 2 4 7 6 4 4 4 6 4597
20130318 12:27:59 33 0 1 0 0 0 0 67 33 1038 2073 0 320 4 0.62 0.24 2.62 4 0 24675680 6046604 18629076 0 0 2755660 204120 25084 2855992 5868800 0 0 0 0 0 0 4 0 0 2588500 0 0 55220 0 0 0 0 0 309 40 0 3 46 8 0 0 0 0 30 10 2 1 0 5 0 0 0 0 0 0 0 0 0 0 0 0 105949 2550 0 90101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 6 5 4 4 7 5 3 4 5 6 4543
20130318 12:28:00 33 0 0 0 0 0 0 67 33 1032 2015 0 320 4 0.62 0.24 2.62 4 0 24675680 6258272 18417408 0 0 2755660 204120 25084 3067064 6089700 0 0 0 0 0 0 4 0 0 2588500 0 0 52719 0 0 0 0 0 309 40 0 3 46 8 0 0 0 0 25 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 105949 2550 0 90101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 3 6 7 4 3 3 5 5 4492
20130318 12:28:01 33 0 1 0 0 0 0 67 33 1035 2085 3 320 4 0.62 0.24 2.62 4 0 24675680 6462232 18213448 0 0 2755664 204236 25084 3270316 6310988 0 0 0 0 0 0 8 0 0 2588548 0 0 50931 0 0 0 0 0 309 40 0 3 46 8 0 0 0 0 30 0 2 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 105949 2550 0 90101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 5 3 4 7 5 4 4 5 5 4442
20130318 12:28:02 33 0 0 0 0 0 0 67 33 1094 2149 0 320 3 0.89 0.30 2.63 4 1 24675680 6662180 18013500 0 0 2757216 204236 25084 3468196 6523948 0 0 0 0 0 0 8 0 0 2590452 0 0 49401 0 0 0 0 0 309 40 0 3 46 10 0 0 0 0 932 485 1278 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 105949 2550 0 90101 0 0 0 0 0 0 0 0 0 61 0 1 0 0 0 0 0 0 0 0 18 0 0 8 4 4 5 7 5 3 4 5 4 4394
20130318 12:28:03 32 0 1 1 0 0 0 66 33 2156 4811 0 320 4 0.89 0.30 2.63 4 0 24675680 6859520 17816160 0 0 2772032 204216 25248 3651536 6721560 0 0 0 0 0 0 12 0 0 2604844 0 0 45938 0 0 0 0 0 309 40 0 3 46 8 0 0 0 0 10875 5816 15729 367 0 6 0 0 0 0 0 0 0 0 0 0 0 0 105949 2550 0 90101 0 0 0 0 0 0 0 0 0 450 0 0 0 0 0 0 0 0 0 0 245 0 0 7 6 4 4 7 4 4 4 5 5 4345
